player_id,name,age,photo_url,position_group,detailed_position,team_id,team_name,team_logo,league_id,season,appearances,starts,minutes_played,rating,goals,assists,shots,shots_on_target,key_passes,passes_total,dribbles_succ,tackles,interceptions,blocks,duels_won,fouls_drawn,fouls_committed,cards,goals_per90,assists_per90,shots_per90,shots_on_target_per90,goal_contributions_per90,key_passes_per90,successful_dribbles_per90,tackles_per90,interceptions_per90,blocks_per90,defensive_actions_per90,duels_won_per90,fouls_drawn_per90,fouls_committed_per90,cards_per90,shot_accuracy,goal_conversion,key_pass_rate,pass_accuracy,duel_success_rate,dribble_success_rate
17,C. Pulišić,27,https://media.api-sports.io/football/players/17.png,Midfielder,Midfielder,489,AC Milan,https://media.api-sports.io/football/teams/489.png,135,2023,36,32,2619,7.236111,12,8,49,31,45,958,47,35,10,1,143,45,19,2,0.41,0.27,1.68,1.07,0.69,1.55,1.62,1.2,0.34,0.03,1.58,4.91,1.55,0.65,0.07,63.27,24.49,4.7,0.0,50.53,46.53
37,N. Pérez,26,https://media.api-sports.io/football/players/37.png,Defender,Defender,494,Udinese,https://media.api-sports.io/football/teams/494.png,135,2023,36,36,3239,6.997222,0,0,13,2,7,1467,8,73,45,26,179,17,34,10,0.0,0.0,0.36,0.06,0.0,0.19,0.22,2.03,1.25,0.72,4.0,4.97,0.47,0.94,0.28,15.38,0.0,0.48,0.0,64.62,57.14
85,C. Ngonge,25,https://media.api-sports.io/football/players/85.png,Attacker,Attacker,492,Napoli,https://media.api-sports.io/football/teams/492.png,135,2023,13,1,304,6.994736,1,2,28,14,21,306,29,14,4,1,89,22,31,2,0.3,0.59,8.29,4.14,0.89,6.22,8.59,4.14,1.18,0.3,5.62,26.35,6.51,9.18,0.59,50.0,3.57,6.86,0.0,40.83,46.77
122,Jordi Mboula,27,https://media.api-sports.io/football/players/122.png,Attacker,Forward,504,Hellas Verona,https://media.api-sports.io/football/teams/504.png,135,2023,11,6,329,6.51,0,1,4,1,3,61,2,4,1,1,14,4,5,0,0.0,0.27,1.09,0.27,0.27,0.82,0.55,1.09,0.27,0.27,1.64,3.83,1.09,1.37,0.0,25.0,0.0,4.92,0.0,31.82,50.0
123,P. Pellegri,24,https://media.api-sports.io/football/players/123.png,Attacker,Attacker,503,Torino,https://media.api-sports.io/football/teams/503.png,135,2023,24,7,745,6.530434,1,1,10,4,4,131,5,5,2,1,55,22,16,3,0.12,0.12,1.21,0.48,0.24,0.48,0.6,0.6,0.24,0.12,0.97,6.64,2.66,1.93,0.36,40.0,10.0,3.05,0.0,40.74,41.67
193,D. D&apos;Ambrosio,37,https://media.api-sports.io/football/players/193.png,Defender,Defender,1579,Monza,https://media.api-sports.io/football/teams/1579.png,135,2023,24,16,1533,6.825,0,0,10,4,4,1060,7,57,14,13,104,13,18,4,0.0,0.0,0.59,0.23,0.0,0.23,0.41,3.35,0.82,0.76,4.93,6.11,0.76,1.06,0.23,40.0,0.0,0.38,0.0,63.41,58.33
194,S. de Vrij,33,https://media.api-sports.io/football/players/194.png,Defender,Defender,505,Inter,https://media.api-sports.io/football/teams/505.png,135,2023,25,17,1578,7.047826,1,0,6,3,2,939,1,18,24,10,65,2,8,0,0.06,0.0,0.34,0.17,0.06,0.11,0.06,1.03,1.37,0.57,2.97,3.71,0.11,0.46,0.0,50.0,16.67,0.21,0.0,63.11,100.0
200,G. Zappa,26,https://media.api-sports.io/football/players/200.png,Defender,Defender,490,Cagliari,https://media.api-sports.io/football/teams/490.png,135,2023,38,25,2555,6.676315,1,3,15,6,24,1073,9,54,20,5,97,15,21,2,0.04,0.11,0.53,0.21,0.14,0.85,0.32,1.9,0.7,0.18,2.78,3.42,0.53,0.74,0.07,40.0,6.67,2.24,0.0,53.3,36.0
202,A. Candreva,37,https://media.api-sports.io/football/players/202.png,Midfielder,Midfielder,514,Salernitana,https://media.api-sports.io/football/teams/514.png,135,2023,34,32,2759,7.120588,6,6,43,21,60,1141,15,18,7,0,76,43,11,5,0.2,0.2,1.4,0.69,0.39,1.96,0.49,0.59,0.23,0.0,0.82,2.48,1.4,0.36,0.16,48.84,13.95,5.26,0.0,53.15,41.67
203,R. Gagliardini,31,https://media.api-sports.io/football/players/203.png,Midfielder,Midfielder,1579,Monza,https://media.api-sports.io/football/teams/1579.png,135,2023,33,29,2368,6.972727,1,2,27,9,20,1468,8,61,31,11,136,21,26,5,0.04,0.08,1.03,0.34,0.11,0.76,0.3,2.32,1.18,0.42,3.91,5.17,0.8,0.99,0.19,33.33,3.7,1.36,41.0,57.63,53.33
